sudo ip link set can0 type can bitrate 250000
sudo ip link set can0 up
ros2 launch robotcan_gui robotcan_gui.launch.py
ros2 run robotcan gps_10_move --ros-args -p navpvt_topic:=/robot_gps_node/navpvt -p stop_radius_m:=2. -p steering_kp:=0.8 -p max_steering_deg:=10. -p target_distance_m:=10.





[INFO] [1786443977.323376607] [gps_10m_move_node]: Move: travelled=3.61 m, remaining=6.39 m, direction=F, steering=0 deg
[INFO] [1786443978.324163528] [gps_10m_move_node]: Move: travelled=3.65 m, remaining=6.35 m, direction=F, steering=0 deg
[INFO] [1786443979.523381443] [gps_10m_move_node]: Move: travelled=3.68 m, remaining=6.32 m, direction=F, steering=0 deg
[INFO] [1786443980.523902832] [gps_10m_move_node]: Move: travelled=3.72 m, remaining=6.29 m, direction=F, steering=0 deg
[INFO] [1786443981.723345994] [gps_10m_move_node]: Move: travelled=3.75 m, remaining=6.26 m, direction=F, steering=0 deg
[INFO] [1786443982.723439511] [gps_10m_move_node]: Move: travelled=3.78 m, remaining=6.23 m, direction=F, steering=0 deg
[INFO] [1786443983.923403726] [gps_10m_move_node]: Move: travelled=3.81 m, remaining=6.19 m, direction=F, steering=2 deg
[INFO] [1786443984.923505594] [gps_10m_move_node]: Move: travelled=3.84 m, remaining=6.16 m, direction=F, steering=3 deg
[INFO] [1786443986.123381043] [gps_10m_move_node]: Move: travelled=3.86 m, remaining=6.15 m, direction=F, steering=3 deg
[INFO] [1786443987.123478617] [gps_10m_move_node]: Move: travelled=3.88 m, remaining=6.13 m, direction=F, steering=3 deg
[INFO] [1786443988.123707462] [gps_10m_move_node]: Move: travelled=3.91 m, remaining=6.10 m, direction=F, steering=3 deg
[INFO] [1786443989.323404013] [gps_10m_move_node]: Move: travelled=3.96 m, remaining=6.05 m, direction=F, steering=4 deg
[INFO] [1786443990.323550257] [gps_10m_move_node]: Move: travelled=3.98 m, remaining=6.03 m, direction=F, steering=4 deg
[INFO] [1786443991.523545674] [gps_10m_move_node]: Move: travelled=4.00 m, remaining=6.01 m, direction=F, steering=4 deg
[INFO] [1786443992.723467170] [gps_10m_move_node]: Move: travelled=4.03 m, remaining=5.98 m, direction=F, steering=4 deg
[INFO] [1786443993.923386198] [gps_10m_move_node]: Move: travelled=4.06 m, remaining=5.95 m, direction=F, steering=5 deg
[INFO] [1786443995.123385904] [gps_10m_move_node]: Move: travelled=4.08 m, remaining=5.93 m, direction=F, steering=5 deg
[INFO] [1786443996.323435434] [gps_10m_move_node]: Move: travelled=4.14 m, remaining=5.87 m, direction=F, steering=5 deg
[INFO] [1786443997.323451711] [gps_10m_move_node]: Move: travelled=4.16 m, remaining=5.85 m, direction=F, steering=5 deg
[INFO] [1786443998.523335873] [gps_10m_move_node]: Move: travelled=4.19 m, remaining=5.82 m, direction=F, steering=6 deg
[INFO] [1786443999.523598179] [gps_10m_move_node]: Move: travelled=4.22 m, remaining=5.79 m, direction=F, steering=6 deg
[INFO] [1786444000.723451850] [gps_10m_move_node]: Move: travelled=4.24 m, remaining=5.77 m, direction=F, steering=6 deg
[INFO] [1786444001.923391914] [gps_10m_move_node]: Move: travelled=4.26 m, remaining=5.75 m, direction=F, steering=6 deg
[INFO] [1786444003.123349095] [gps_10m_move_node]: Move: travelled=4.30 m, remaining=5.71 m, direction=F, steering=7 deg
[INFO] [1786444004.124797836] [gps_10m_move_node]: Move: travelled=4.33 m, remaining=5.69 m, direction=F, steering=7 deg
[INFO] [1786444005.324099884] [gps_10m_move_node]: Move: travelled=4.39 m, remaining=5.63 m, direction=F, steering=7 deg
[INFO] [1786444006.523465568] [gps_10m_move_node]: Move: travelled=4.41 m, remaining=5.61 m, direction=F, steering=7 deg
[INFO] [1786444007.723513771] [gps_10m_move_node]: Move: travelled=4.44 m, remaining=5.57 m, direction=F, steering=8 deg
[INFO] [1786444008.923469032] [gps_10m_move_node]: Move: travelled=4.47 m, remaining=5.54 m, direction=F, steering=8 deg
[INFO] [1786444010.123388126] [gps_10m_move_node]: Move: travelled=4.50 m, remaining=5.52 m, direction=F, steering=8 deg
[INFO] [1786444011.123494881] [gps_10m_move_node]: Move: travelled=4.53 m, remaining=5.49 m, direction=F, steering=8 deg
[INFO] [1786444012.323541075] [gps_10m_move_node]: Move: travelled=4.59 m, remaining=5.43 m, direction=F, steering=9 deg
[INFO] [1786444013.523444501] [gps_10m_move_node]: Move: travelled=4.61 m, remaining=5.41 m, direction=F, steering=9 deg
[INFO] [1786444014.723458471] [gps_10m_move_node]: Move: travelled=4.63 m, remaining=5.39 m, direction=F, steering=9 deg
[INFO] [1786444015.723564271] [gps_10m_move_node]: Move: travelled=4.66 m, remaining=5.36 m, direction=F, steering=10 deg
[INFO] [1786444016.923843827] [gps_10m_move_node]: Move: travelled=4.69 m, remaining=5.33 m, direction=F, steering=10 deg
[INFO] [1786444018.123547561] [gps_10m_move_node]: Move: travelled=4.71 m, remaining=5.32 m, direction=F, steering=10 deg
[INFO] [1786444019.323441265] [gps_10m_move_node]: Move: travelled=4.76 m, remaining=5.26 m, direction=F, steering=10 deg
[INFO] [1786444020.523429029] [gps_10m_move_node]: Move: travelled=4.80 m, remaining=5.22 m, direction=F, steering=10 deg
[INFO] [1786444021.523461002] [gps_10m_move_node]: Move: travelled=4.82 m, remaining=5.20 m, direction=F, steering=11 deg
[INFO] [1786444022.723466089] [gps_10m_move_node]: Move: travelled=4.83 m, remaining=5.19 m, direction=F, steering=11 deg
[INFO] [1786444023.723485219] [gps_10m_move_node]: Move: travelled=4.87 m, remaining=5.15 m, direction=F, steering=11 deg
[INFO] [1786444024.723515794] [gps_10m_move_node]: Move: travelled=4.90 m, remaining=5.13 m, direction=F, steering=11 deg
[INFO] [1786444025.923499479] [gps_10m_move_node]: Move: travelled=4.92 m, remaining=5.10 m, direction=F, steering=11 deg
[INFO] [1786444026.923927929] [gps_10m_move_node]: Move: travelled=4.94 m, remaining=5.08 m, direction=F, steering=12 deg
[INFO] [1786444028.123451048] [gps_10m_move_node]: Move: travelled=4.97 m, remaining=5.06 m, direction=F, steering=12 deg
[INFO] [1786444029.123494520] [gps_10m_move_node]: Move: travelled=4.99 m, remaining=5.03 m, direction=F, steering=12 deg
[INFO] [1786444030.323457936] [gps_10m_move_node]: Move: travelled=5.04 m, remaining=4.99 m, direction=F, steering=13 deg
[INFO] [1786444031.324108656] [gps_10m_move_node]: Move: travelled=5.06 m, remaining=4.97 m, direction=F, steering=13 deg
[INFO] [1786444032.523505735] [gps_10m_move_node]: Move: travelled=5.09 m, remaining=4.94 m, direction=F, steering=13 deg
[INFO] [1786444033.523574705] [gps_10m_move_node]: Move: travelled=5.11 m, remaining=4.92 m, direction=F, steering=13 deg
[INFO] [1786444034.723628776] [gps_10m_move_node]: Move: travelled=5.14 m, remaining=4.89 m, direction=F, steering=13 deg
[INFO] [1786444035.724330559] [gps_10m_move_node]: Move: travelled=5.16 m, remaining=4.88 m, direction=F, steering=14 deg
[INFO] [1786444036.923445967] [gps_10m_move_node]: Move: travelled=5.17 m, remaining=4.86 m, direction=F, steering=14 deg
[INFO] [1786444037.923463883] [gps_10m_move_node]: Move: travelled=5.19 m, remaining=4.84 m, direction=F, steering=14 deg
[INFO] [1786444038.923549526] [gps_10m_move_node]: Move: travelled=5.22 m, remaining=4.82 m, direction=F, steering=15 deg
[INFO] [1786444039.923587024] [gps_10m_move_node]: Move: travelled=5.24 m, remaining=4.80 m, direction=F, steering=15 deg
[INFO] [1786444040.923608567] [gps_10m_move_node]: Move: travelled=5.26 m, remaining=4.77 m, direction=F, steering=15 deg
[INFO] [1786444041.923640269] [gps_10m_move_node]: Move: travelled=5.29 m, remaining=4.75 m, direction=F, steering=15 deg
[INFO] [1786444043.123695516] [gps_10m_move_node]: Move: travelled=5.30 m, remaining=4.73 m, direction=F, steering=15 deg
[INFO] [1786444044.323492238] [gps_10m_move_node]: Move: travelled=5.36 m, remaining=4.68 m, direction=F, steering=15 deg
[INFO] [1786444045.523485726] [gps_10m_move_node]: Move: travelled=5.39 m, remaining=4.65 m, direction=F, steering=15 deg
[INFO] [1786444046.523579170] [gps_10m_move_node]: Move: travelled=5.41 m, remaining=4.63 m, direction=F, steering=15 deg
[INFO] [1786444047.723592196] [gps_10m_move_node]: Move: travelled=5.44 m, remaining=4.60 m, direction=F, steering=15 deg
[INFO] [1786444048.923985286] [gps_10m_move_node]: Move: travelled=5.47 m, remaining=4.57 m, direction=F, steering=15 deg
[INFO] [1786444049.924348798] [gps_10m_move_node]: Move: travelled=5.50 m, remaining=4.54 m, direction=F, steering=15 deg
[INFO] [1786444051.123934960] [gps_10m_move_node]: Move: travelled=5.53 m, remaining=4.51 m, direction=F, steering=15 deg
[INFO] [1786444052.323986754] [gps_10m_move_node]: Move: travelled=5.59 m, remaining=4.46 m, direction=F, steering=15 deg
[INFO] [1786444053.523883119] [gps_10m_move_node]: Move: travelled=5.61 m, remaining=4.44 m, direction=F, steering=15 deg
[INFO] [1786444054.723572564] [gps_10m_move_node]: Move: travelled=5.64 m, remaining=4.41 m, direction=F, steering=15 deg
[INFO] [1786444055.923864630] [gps_10m_move_node]: Move: travelled=5.66 m, remaining=4.39 m, direction=F, steering=15 deg
[INFO] [1786444057.123575699] [gps_10m_move_node]: Move: travelled=5.68 m, remaining=4.37 m, direction=F, steering=15 deg
[INFO] [1786444058.123691390] [gps_10m_move_node]: Move: travelled=5.70 m, remaining=4.35 m, direction=F, steering=15 deg
[INFO] [1786444059.124432500] [gps_10m_move_node]: Move: travelled=5.73 m, remaining=4.32 m, direction=F, steering=15 deg
[INFO] [1786444060.324424269] [gps_10m_move_node]: Move: travelled=5.79 m, remaining=4.26 m, direction=F, steering=15 deg
[INFO] [1786444061.523761594] [gps_10m_move_node]: Move: travelled=5.82 m, remaining=4.23 m, direction=F, steering=15 deg
[INFO] [1786444062.723558400] [gps_10m_move_node]: Move: travelled=5.85 m, remaining=4.21 m, direction=F, steering=15 deg
[INFO] [1786444063.723750023] [gps_10m_move_node]: Move: travelled=5.87 m, remaining=4.18 m, direction=F, steering=15 deg
[INFO] [1786444064.923671345] [gps_10m_move_node]: Move: travelled=5.90 m, remaining=4.15 m, direction=F, steering=15 deg
[INFO] [1786444066.123607797] [gps_10m_move_node]: Move: travelled=5.93 m, remaining=4.12 m, direction=F, steering=15 deg
[INFO] [1786444067.123620060] [gps_10m_move_node]: Move: travelled=5.96 m, remaining=4.10 m, direction=F, steering=15 deg
[INFO] [1786444068.123637960] [gps_10m_move_node]: Move: travelled=5.99 m, remaining=4.07 m, direction=F, steering=15 deg
[INFO] [1786444069.323637693] [gps_10m_move_node]: Move: travelled=6.05 m, remaining=4.02 m, direction=F, steering=15 deg
[INFO] [1786444070.323650970] [gps_10m_move_node]: Move: travelled=6.07 m, remaining=3.99 m, direction=F, steering=15 deg
[INFO] [1786444071.523649645] [gps_10m_move_node]: Move: travelled=6.10 m, remaining=3.96 m, direction=F, steering=15 deg
^C[WARN] [1786444072.323724001] [gps_10m_move_node]: Ctrl+C detected. Sending repeated STOP commands before shutdown.
[WARN] [1786444072.324531014] [gps_10m_move_node]: Shutdown STOP command 1 / 10
[WARN] [1786444072.924012782] [gps_10m_move_node]: Shutdown STOP command 4 / 10
[WARN] [1786444073.523946188] [gps_10m_move_node]: Shutdown STOP command 7 / 10
[WARN] [1786444074.123979409] [gps_10m_move_node]: Shutdown STOP command 10 / 10
[WARN] [1786444074.124338899] [gps_10m_move_node]: Repeated STOP commands sent. Shutting down.
root@ubuntu:/ws/isaac_ros-dev# ^C
root@ubuntu:/ws/isaac_ros-dev# ^C
root@ubuntu:/ws/isaac_ros-dev# ^C
root@ubuntu:/ws/isaac_ros-dev# ^C
root@ubuntu:/ws/isaac_ros-dev# 
root@ubuntu:/ws/isaac_ros-dev# ros2 run robotcan gps_10_move --ros-args -p navpvt_topic:=/robot_gps_node/navpvt -p stop_radius_m:=1. -p steering_kp:=0.8 -p max_steering_deg:=15. -p target_distance_m:=10.
[INFO] [1786444507.208201183] [gps_10m_move_node]: GPS move node started.
[INFO] [1786444507.208754415] [gps_10m_move_node]: Position topic: /robot_gps_node/navpvt
[INFO] [1786444507.208901052] [gps_10m_move_node]: Heading topic: /dual_gnss/heading_enu_rad
[INFO] [1786444507.209083724] [gps_10m_move_node]: Drive service: /send_drive_cmd
[INFO] [1786444507.209212312] [gps_10m_move_node]: Target distance: 10.00 m, stop radius: 1.00 m, speed: 1
[INFO] [1786444507.209399976] [gps_10m_move_node]: Steering correction: kp=0.800, max=15.00 deg, deadband=3.00 deg
[WARN] [1786444507.408507204] [gps_10m_move_node]: Waiting for NavPVT position...
[INFO] [1786444509.211276718] [gps_10m_move_node]: Mission started. Distance 10.00 m, direction=F
[INFO] [1786444509.214248595] [gps_10m_move_node]: Target ENU: east=-4.969 m, north=-8.678 m
[INFO] [1786444509.214495336] [gps_10m_move_node]: Move: travelled=0.00 m, remaining=10.00 m, direction=F, steering=0 deg
[INFO] [1786444510.408891438] [gps_10m_move_node]: Move: travelled=0.01 m, remaining=9.99 m, direction=F, steering=0 deg
[INFO] [1786444511.408952431] [gps_10m_move_node]: Move: travelled=0.03 m, remaining=9.97 m, direction=F, steering=0 deg
[INFO] [1786444512.408969861] [gps_10m_move_node]: Move: travelled=0.08 m, remaining=9.92 m, direction=F, steering=0 deg
[INFO] [1786444513.409592233] [gps_10m_move_node]: Move: travelled=0.10 m, remaining=9.90 m, direction=F, steering=0 deg
[INFO] [1786444514.609273053] [gps_10m_move_node]: Move: travelled=0.15 m, remaining=9.85 m, direction=F, steering=0 deg
[INFO] [1786444515.809323761] [gps_10m_move_node]: Move: travelled=0.20 m, remaining=9.80 m, direction=F, steering=0 deg
[INFO] [1786444516.809457219] [gps_10m_move_node]: Move: travelled=0.24 m, remaining=9.76 m, direction=F, steering=0 deg
[INFO] [1786444517.809581873] [gps_10m_move_node]: Move: travelled=0.28 m, remaining=9.72 m, direction=F, steering=0 deg
[INFO] [1786444518.809603094] [gps_10m_move_node]: Move: travelled=0.31 m, remaining=9.69 m, direction=F, steering=0 deg
[INFO] [1786444519.809627481] [gps_10m_move_node]: Move: travelled=0.36 m, remaining=9.64 m, direction=F, steering=0 deg
[INFO] [1786444520.809750502] [gps_10m_move_node]: Move: travelled=0.40 m, remaining=9.61 m, direction=F, steering=0 deg
[INFO] [1786444521.809787340] [gps_10m_move_node]: Move: travelled=0.43 m, remaining=9.57 m, direction=F, steering=0 deg
[INFO] [1786444522.809926142] [gps_10m_move_node]: Move: travelled=0.46 m, remaining=9.54 m, direction=F, steering=0 deg
[INFO] [1786444523.810015437] [gps_10m_move_node]: Move: travelled=0.50 m, remaining=9.51 m, direction=F, steering=0 deg
[INFO] [1786444524.810112449] [gps_10m_move_node]: Move: travelled=0.53 m, remaining=9.47 m, direction=F, steering=0 deg
[INFO] [1786444525.810203258] [gps_10m_move_node]: Move: travelled=0.56 m, remaining=9.44 m, direction=F, steering=0 deg
[INFO] [1786444526.810235859] [gps_10m_move_node]: Move: travelled=0.59 m, remaining=9.41 m, direction=F, steering=0 deg
[INFO] [1786444527.810412478] [gps_10m_move_node]: Move: travelled=0.63 m, remaining=9.37 m, direction=F, steering=0 deg
[INFO] [1786444529.010491712] [gps_10m_move_node]: Move: travelled=0.69 m, remaining=9.31 m, direction=F, steering=0 deg
[INFO] [1786444530.210498404] [gps_10m_move_node]: Move: travelled=0.76 m, remaining=9.24 m, direction=F, steering=0 deg
[INFO] [1786444531.210853217] [gps_10m_move_node]: Move: travelled=0.77 m, remaining=9.23 m, direction=F, steering=0 deg
[INFO] [1786444532.410800435] [gps_10m_move_node]: Move: travelled=0.81 m, remaining=9.19 m, direction=F, steering=0 deg
[INFO] [1786444533.611175743] [gps_10m_move_node]: Move: travelled=0.85 m, remaining=9.15 m, direction=F, steering=0 deg
[INFO] [1786444534.811261322] [gps_10m_move_node]: Move: travelled=0.87 m, remaining=9.13 m, direction=F, steering=0 deg
[INFO] [1786444536.011357325] [gps_10m_move_node]: Move: travelled=0.90 m, remaining=9.10 m, direction=F, steering=0 deg
[INFO] [1786444537.014255659] [gps_10m_move_node]: Move: travelled=0.92 m, remaining=9.08 m, direction=F, steering=0 deg
[INFO] [1786444538.211215973] [gps_10m_move_node]: Move: travelled=1.00 m, remaining=9.01 m, direction=F, steering=0 deg
[INFO] [1786444539.212563002] [gps_10m_move_node]: Move: travelled=1.03 m, remaining=8.97 m, direction=F, steering=0 deg
[INFO] [1786444540.411408209] [gps_10m_move_node]: Move: travelled=1.06 m, remaining=8.94 m, direction=F, steering=0 deg
[INFO] [1786444541.411511225] [gps_10m_move_node]: Move: travelled=1.10 m, remaining=8.91 m, direction=F, steering=0 deg
[INFO] [1786444542.411594417] [gps_10m_move_node]: Move: travelled=1.13 m, remaining=8.87 m, direction=F, steering=0 deg
[INFO] [1786444543.411656636] [gps_10m_move_node]: Move: travelled=1.17 m, remaining=8.83 m, direction=F, steering=0 deg
[INFO] [1786444544.411821602] [gps_10m_move_node]: Move: travelled=1.21 m, remaining=8.79 m, direction=F, steering=0 deg
[INFO] [1786444545.611852516] [gps_10m_move_node]: Move: travelled=1.24 m, remaining=8.76 m, direction=F, steering=0 deg
[INFO] [1786444546.612450959] [gps_10m_move_node]: Move: travelled=1.29 m, remaining=8.72 m, direction=F, steering=0 deg
[INFO] [1786444547.811945946] [gps_10m_move_node]: Move: travelled=1.32 m, remaining=8.68 m, direction=F, steering=0 deg
[INFO] [1786444548.812367164] [gps_10m_move_node]: Move: travelled=1.36 m, remaining=8.64 m, direction=F, steering=0 deg
[INFO] [1786444550.012149331] [gps_10m_move_node]: Move: travelled=1.40 m, remaining=8.61 m, direction=F, steering=0 deg
[INFO] [1786444551.012197250] [gps_10m_move_node]: Move: travelled=1.42 m, remaining=8.58 m, direction=F, steering=0 deg
[INFO] [1786444552.012315408] [gps_10m_move_node]: Move: travelled=1.46 m, remaining=8.54 m, direction=F, steering=0 deg
